Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 Linked To,Option2 name,Option2 value,Option2 Linked To,Option3 name,Option3 value,Option3 Linked To,Price,Compare-at price,Cost per item,Charge tax,Tax code,Unit price total measure,Unit price total measure unit,Unit price base measure,Unit price base measure unit,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card,SEO title,SEO description,Color (product.metafields.shopify.color-pattern),Google Shopping / Google product category,Google Shopping / Gender,Google Shopping / Age group,Google Shopping / Manufacturer part number (MPN),Google Shopping / Ad group name,Google Shopping / Ads labels,Google Shopping / Condition,Google Shopping / Custom product,Google Shopping / Custom label 0,Google Shopping / Custom label 1,Google Shopping / Custom label 2,Google Shopping / Custom label 3,Google Shopping / Custom label 4
Bluebunch Wheatgrass,bluebunch-wheatgrass,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,PSESPI-1G,BD2D2YPH52,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/49546448/medium.jpeg,1,Bluebunch Wheatgrass,,FALSE,,,,,,,,,,,,,,,,
Broad-leaf Penstemon,broad-leaf-penstemon,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator, bird-friendly",TRUE,active,PENOVA-1G,BDVN2RMNP4,,,,,,,,,,,,,TRUE,,,,,,shopify,8,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/116114840/medium.jpeg,1,Broad-leaf Penstemon,,FALSE,,,,,,,,,,,,,,,,
Burning Bush,burning-bush,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,EUOOCC-1g,BD9GVKTEXT,,,,,,,,,,25.50,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/19494111/medium.jpg,1,Burning Bush,,FALSE,,,,,,,,,,,,,,,,
California Figwort,california-figwort,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,SCRCAL-4,BDJ79B8ZRD,Size,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,8,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/34843942/medium.jpeg,1,California Figwort,,FALSE,,,,,,,,,,,,,,,,
,california-figwort,,,,,,,,SCRCAL-1G,BDSX8V94D7,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,34,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Camas,camas,,Bloomsday Natives,,bulb,"Pacific Northwest, bulb",TRUE,active,CAMLEI-238,BDA23J45PE,,,,,,,,,,,,,TRUE,,,,,,shopify,7,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/107887806/medium.jpeg,1,Camas,,FALSE,,,,,,,,,,,,,,,,
Cascara,cascara,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,RHAPUR-2G,BDSVTTTCRK,Size,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/70995836/medium.jpg,1,Cascara,,FALSE,,,,,,,,,,,,,,,,
,cascara,,,,,,,,RHAPUR-5G,BD2N6B88ZM,,5 gal,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,cascara,,,,,,,,RHAPUR-1G,BDQ6KWLLMU,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Caucasian spinach,caucasian-spinach,,Bloomsday Natives,,vine,"Pacific Northwest, vine",TRUE,active,HABTAM-3.5,BDQKLHKS2N,,,,,,,,,,,,,TRUE,,,,,,shopify,7,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/44097129/medium.jpg,1,Caucasian spinach,,FALSE,,,,,,,,,,,,,,,,
Chamisso Sedge,chamisso-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CARPAC-4,BD2KU2G4HC,,,,,,,,,,,,,TRUE,,,,,,shopify,33,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/4048199/medium.jpg,1,Chamisso Sedge,,FALSE,,,,,,,,,,,,,,,,
Chokecherry,chokecherry,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,PRUVIR-2g,BD5PHX83E3,,,,,,,,,,19.50,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/146282563/medium.jpg,1,Chokecherry,,FALSE,,,,,,,,,,,,,,,,
Clustered Wild Rose,clustered-wild-rose,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,ROSPIS-1G,BD9CFJSM7D,,,,,,,,,,,,,TRUE,,,,,,shopify,98,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/440769503/medium.jpeg,1,Clustered Wild Rose,,FALSE,,,,,,,,,,,,,,,,
Coastal Strawberry,coastal-strawberry,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,FRACHI-3.5,BD4G34ZJUC,,,,,,,,,,,,,TRUE,,,,,,shopify,14,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/12686733/medium.jpg,1,Coastal Strawberry,,FALSE,,,,,,,,,,,,,,,,
Columbia brome,columbia-brome,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,BROVUL-4,BDFJE5AAQF,,,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/8631896/medium.jpg,1,Columbia brome,,FALSE,,,,,,,,,,,,,,,,
Common Sneezeweed,common-sneezeweed,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,HELAUT-3.5,BD4M2XSAED,,,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/168217302/medium.jpg,1,Common Sneezeweed,,FALSE,,,,,,,,,,,,,,,,
Creeping Mahonia,creeping-mahonia,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,MAHREP-1G,BDVMCFCEQN,,,,,,,,,,,,,TRUE,,,,,,shopify,112,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/141256123/medium.jpg,1,Creeping Mahonia,,FALSE,,,,,,,,,,,,,,,,
Creeping Mitewort,creeping-mitewort,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,MITCAU-3.5,BDGPWLFWD8,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/7703676/medium.jpeg,1,Creeping Mitewort,,FALSE,,,,,,,,,,,,,,,,
Creeping Wild Rye,creeping-wild-rye,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,LEYTRI-1G,BDTELFEXTF,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/12614241/medium.jpeg,1,Creeping Wild Rye,,FALSE,,,,,,,,,,,,,,,,
,creeping-wild-rye,,,,,,,,LEYTRI-4,BDN6X7AMUF,,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Dagger Leaf Rush,dagger-leaf-rush,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,JUNENS-3.5,BDH85UA6RX,Size,"3.5""",,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/87054436/medium.jpg,1,Dagger Leaf Rush,,FALSE,,,,,,,,,,,,,,,,
,dagger-leaf-rush,,,,,,,,JUNENS-4,BDZTAUH5NT,,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,31,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Desert Peach,desert-peach,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,PRUAND-1g,BDLB9H3GDR,,,,,,,,,,24.00,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/6476587/medium.jpeg,1,Desert Peach,,FALSE,,,,,,,,,,,,,,,,
Douglas Aster,douglas-aster,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,SYMSUB-3.5,BDUQK7ZF5S,,,,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/419066838/medium.jpeg,1,Douglas Aster,,FALSE,,,,,,,,,,,,,,,,
Douglas Fir,douglas-fir,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,PSUMEN-5G,BDEXYDLWNT,Size,5 gal,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/140217013/medium.jpg,1,Douglas Fir,,FALSE,,,,,,,,,,,,,,,,
,douglas-fir,,,,,,,,PSUMEN-2G,BD9HSB3WKA,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Dudley's Sedge,dudleys-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CARDEN-278,BD4X3CMXBQ,,,,,,,,,,,,,TRUE,,,,,,shopify,36,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/70367090/medium.jpeg,1,Dudley's Sedge,,FALSE,,,,,,,,,,,,,,,,
Dull/Dwarf Oregon Grape,dull-dwarf-oregon-grape,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,MAHNER-1G,BD4RFERKUB,,,,,,,,,,,,,TRUE,,,,,,shopify,78,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/127348129/medium.jpg,1,Dull/Dwarf Oregon Grape,,FALSE,,,,,,,,,,,,,,,,
Evergreen Huckleberry,evergreen-huckleberry,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,VACOVA-2G,BDMP8JUMHF,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/121469550/medium.jpeg,1,Evergreen Huckleberry,,FALSE,,,,,,,,,,,,,,,,
False Solomons Seal,false-solomons-seal,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,MAIRAC-1G,BDLN57QEUU,,,,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/278896834/medium.jpg,1,False Solomons Seal,,FALSE,,,,,,,,,,,,,,,,
Fernleaf Biscuitroot,fernleaf-biscuitroot,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,LOMDIS-4in-mid-band,BDDW7VG447,,,,,,,,,,6.09,,,TRUE,,,,,,shopify,8,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/7660357/medium.jpg,1,Fernleaf Biscuitroot,,FALSE,,,,,,,,,,,,,,,,
Fox Sedge,fox-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CARVUL-4,BD5ZJUQGPM,,,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/41202772/medium.jpg,1,Fox Sedge,,FALSE,,,,,,,,,,,,,,,,
Fringe Cup,fringe-cup,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,TELGRA-3.5,BDVS6REBKU,,,,,,,,,,,,,TRUE,,,,,,shopify,31,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/143999155/medium.jpg,1,Fringe Cup,,FALSE,,,,,,,,,,,,,,,,
Goat's Beard,goats-beard,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,ARUDIO-4,BD5KLQPE8S,,,,,,,,,,,,,TRUE,,,,,,shopify,6,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/6912783/medium.jpg,1,Goat's Beard,,FALSE,,,,,,,,,,,,,,,,
Golden Currant,golden-currant,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator, bird-friendly",TRUE,active,RIBAUR-1G,BDSYWZFJGY,,,,,,,,,,,,,TRUE,,,,,,shopify,39,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/497524076/medium.jpg,1,Golden Currant,,FALSE,,,,,,,,,,,,,,,,
Grand Fir,grand-fir,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,ABIGRA-1G,BD6GNFFJAE,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/83838154/medium.jpeg,1,Grand Fir,,FALSE,,,,,,,,,,,,,,,,
,grand-fir,,,,,,,,ABIGRA-2G,BDWBXZ9PUH,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Green False Hellebore,green-false-hellebore,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,VERVIR-1G,BD2AF4D7BZ,,,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/491949/medium.JPG,1,Green False Hellebore,,FALSE,,,,,,,,,,,,,,,,
"Grex Perennial Kale ""Pardee No Water""",grex-perennial-kale-pardee-no-water,,Bloomsday Natives,,perennial,perennial,TRUE,active,BRASSPPAR-QT,BDRK9NNP9A,,,,,,,,,,0.00,,,TRUE,,,,,,shopify,16,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Gumweed,gumweed,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,GRIINT-1g,BD4J6C48DD,,,,,,,,,,12.00,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/85191/medium.jpg,1,Gumweed,,FALSE,,,,,,,,,,,,,,,,
Hardstem Bulrush,hardstem-bulrush,,Bloomsday Natives,,aquatic,"Pacific Northwest, aquatic",TRUE,active,SCIACU-4,BDZBWRQRNH,,,,,,,,,,,,,TRUE,,,,,,shopify,18,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/17377005/medium.jpeg,1,Hardstem Bulrush,,FALSE,,,,,,,,,,,,,,,,
Harford's Onion Grass,harfords-onion-grass,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,MELHAR-1g,BDUKYWLH9Z,,,,,,,,,,12.00,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/142744/medium.jpg,1,Harford's Onion Grass,,FALSE,,,,,,,,,,,,,,,,
Harvest Brodiaea,harvest-brodiaea,,Bloomsday Natives,,perennial,perennial,TRUE,active,BROELE-4,BD5SFBUZH2,,,,,,,,,,,,,TRUE,,,,,,shopify,12,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/18917497/medium.jpg,1,Harvest Brodiaea,,FALSE,,,,,,,,,,,,,,,,
Hooker's Catchfly,hookers-catchfly,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, Pink to White, pollinator, deer-resistant",TRUE,active,SILHOO-3.5,BDD8KEAW5S,,,,,,,,,,,,,TRUE,,,,,,shopify,9,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/14055/medium.jpg,1,Hooker's Catchfly,,FALSE,,,,,,,,,,,,,,,,
Idaho Blue-eyed Grass,idaho-blue-eyed-grass,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator, bird-friendly",TRUE,active,SISIDA-4,BD8LEUBB92,Size,"4"" Band",,,,,,,,,,,TRUE,,,,,,shopify,9,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/130639358/medium.jpg,1,Idaho Blue-eyed Grass,,FALSE,,,,,,,,,,,,,,,,
,idaho-blue-eyed-grass,,,,,,,,SISIDA-1G,BDZ2FYFMR7,,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,42,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Incense-Cedar,incense-cedar,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,CALDEC-2G,BD25ECUFN6,,,,,,,,,,,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/52181671/medium.jpg,1,Incense-Cedar,,FALSE,,,,,,,,,,,,,,,,
Kinnikinnick,kinnikinnick,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub",TRUE,active,ARCUVA-1G,BD77Z98DN8,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,28,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/181302737/medium.jpeg,1,Kinnikinnick,,FALSE,,,,,,,,,,,,,,,,
,kinnikinnick,,,,,,,,ARCUVA-2G,BDTQGECGFR,,2 Gal,,,,,,,,,,,TRUE,,,,,,shopify,2,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
,kinnikinnick,,,,,,,,3.5,BDZXUEKSFF,,"3.5""",,,,,,,,0.00,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Merten's Sedge,mertens-sedge,,Bloomsday Natives,,graminoid,"Pacific Northwest, graminoid",TRUE,active,CARMER-278,BDVSQUUVP2,,,,,,,,,,,,,TRUE,,,,,,shopify,70,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/181894940/medium.jpeg,1,Merten's Sedge,,FALSE,,,,,,,,,,,,,,,,
Mitsuba,mitsuba,,Bloomsday Natives,,perennial,perennial,TRUE,active,CRYJAP-1g,BDLM8RFLSP,,,,,,,,,,12.00,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/71605750/medium.jpeg,1,Mitsuba,,FALSE,,,,,,,,,,,,,,,,
Mock Orange,mock-orange,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,PHILEW-1G,BDVMWSHV3A,Size,1 Gal,,,,,,,,,,,TRUE,,,,,,shopify,47,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/40363644/medium.jpg,1,Mock Orange,,FALSE,,,,,,,,,,,,,,,,
,mock-orange,,,,,,,,PHILEW-2g,BDC2CYLT7E,,2 gal,,,,,,,,19.50,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Modesty Aster,modesty-aster,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial",TRUE,active,CANMOD-1G,BDZNU295QE,,,,,,,,,,,,,TRUE,,,,,,shopify,5,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/310585724/medium.jpg,1,Modesty Aster,,FALSE,,,,,,,,,,,,,,,,
Mountain hemlock,mountain-hemlock,,Bloomsday Natives,,tree,"Pacific Northwest, tree, pollinator, bird-friendly",TRUE,active,TSUMER-5g,BDDMUNN95C,,,,,,,,,,102.00,,,TRUE,,,,,,shopify,3,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/104023449/medium.jpg,1,Mountain hemlock,,FALSE,,,,,,,,,,,,,,,,
Narrow-leaf Mule Ears,narrow-leaf-mule-ears,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,WYEANG-1G,BDA7FEWJES,,,,,,,,,,,,,TRUE,,,,,,shopify,37,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/11682/medium.jpg,1,Narrow-leaf Mule Ears,,FALSE,,,,,,,,,,,,,,,,
Nelsons Checkermallow,nelsons-checkermallow,,Bloomsday Natives,,perennial,"Pacific Northwest, perennial, pollinator",TRUE,active,SIDNEL-1G,BD822JRAPH,,,,,,,,,,,,,TRUE,,,,,,shopify,22,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/18230741/medium.jpg,1,Nelsons Checkermallow,,FALSE,,,,,,,,,,,,,,,,
Nodding Onion,nodding-onion,,Bloomsday Natives,,perennial,"perennial, pollinator",TRUE,active,ALLCER-3.5,BDZK8SB6JU,Size,"3.5""",,,,,,,,,,,TRUE,,,,,,shopify,11,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/218716747/medium.jpg,1,Nodding Onion,,FALSE,,,,,,,,,,,,,,,,
,nodding-onion,,,,,,,,ALLCER-4in,BDEA89Z32L,,4 inch,,,,,,,,6.00,,,TRUE,,,,,,shopify,36,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Nodding Onion (major),nodding-onion-major,,Bloomsday Natives,,bulb,"Pacific Northwest, bulb, white - pink, pollinator, deer-resistant",TRUE,active,ALLCERMAJ-3.5,BDPCRANKY2,,,,,,,,,,,,,TRUE,,,,,,shopify,30,DENY,,,TRUE,manual,,,,,FALSE,,,,,,,,,,,,,,,,
Nootka Cypress,nootka-cypress,,Bloomsday Natives,,tree,"Pacific Northwest, tree",TRUE,active,CHANOO-2g,BDHYTQN6VZ,,,,,,,,,,27.00,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/43618148/medium.jpg,1,Nootka Cypress,,FALSE,,,,,,,,,,,,,,,,
Nootka Rose,nootka-rose,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,ROSNUT-1g,BDLK2U4RP4,,,,,,,,,,14.00,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://static.inaturalist.org/photos/132743037/medium.jpg,1,Nootka Rose,,FALSE,,,,,,,,,,,,,,,,
Oceanspray,oceanspray,,Bloomsday Natives,,shrub,"Pacific Northwest, shrub, pollinator",TRUE,active,HOLDIS-1g,BDXK3XV523,,,,,,,,,,9.75,,,TRUE,,,,,,shopify,4,DENY,,,TRUE,manual,https://inaturalist-open-data.s3.amazonaws.com/photos/297815731/medium.jpg,1,Oceanspray,,FALSE,,,,,,,,,,,,,,,,
